                                               28 Sep 2025 19:35:01
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Global Coverage                                                    
Grid Altitude: 0.0000 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 4.0000 (deg)                                           
Number of Points: 2588                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Satellite/C_Sat/Sensor/C_Camera:    Active                     
    Satellite/R_Sat/Sensor/R_Camera:    Active                     
    Satellite/S_Sat/Sensor/S_Camera:    Active                     
Access Interval: 1 May 2024 16:00:00.000 to 2 May 2024 16:00:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


            FOM Properties           
-------------------------------------
Total Number Of Accesses             
Satisfaction is not enabled          
FOM value range check is not enabled.


Latitude (deg)    Longitude (deg)    FOM Value
       -22.000            196.552            1
       -22.000            200.690            2
       -22.000            204.828            1
       -22.000            208.966            0
       -22.000            213.103            1
       -22.000            217.241            1
       -22.000            221.379            1
       -22.000            225.517            1
       -22.000            229.655            1
       -22.000            233.793            0
       -22.000            237.931            2
       -22.000            242.069            2
       -22.000            246.207            1
       -22.000            250.345            0
       -22.000            254.483            0
       -22.000            258.621            1
       -22.000            262.759            2
       -22.000            266.897            1
       -22.000            271.034            1
       -22.000            275.172            1
       -22.000            279.310            0
       -22.000            283.448            2
       -22.000            287.586            2
       -22.000            291.724            1
       -22.000            295.862            0
       -22.000            300.000            1
       -22.000            304.138            0
       -22.000            308.276            1
       -22.000            312.414            2
       -22.000            316.552            2
       -22.000            320.690            2
       -22.000            324.828            0
       -22.000            328.966            0
       -22.000            333.103            1
       -22.000            337.241            1
       -22.000            341.379            2
       -22.000            345.517            1
       -22.000            349.655            0
       -22.000            353.793            0
       -22.000            357.931            2
       -18.000              2.069            2
       -18.000              6.207            2
       -18.000             10.345            1
       -18.000             14.483            0
       -18.000             18.621            0
       -18.000             22.759            2
       -18.000             26.897            2
       -18.000             31.034            2
       -18.000             35.172            1
       -18.000             39.310            0
       -18.000             43.448            0
       -18.000             47.586            1
       -18.000             51.724            2
       -18.000             55.862            1
       -18.000             60.000            0
       -18.000             64.138            0
       -18.000             68.276            0
       -18.000             72.414            0
       -18.000             76.552            4
       -18.000             80.690            1
