                                               30 Sep 2025 09:53:53
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Custom Regions Coverage                                            
Grid Altitude: 0.0030 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 0.0180 (deg)                                           
Number of Points: 2916                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Missile/TestMissile/Transmitter/DLTx:    Active                
Access Interval: 1 May 2024 18:00:00.000 to 1 May 2024 18:05:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


                FOM Properties               
---------------------------------------------
Maximum C/N                                  
Maximum of Assets                            
Satisfaction is not enabled                  
Invalid Data Indicator Value: -9999.990000 dB
FOM value range check is not enabled.        



Time (UTCG): 1 May 2024 18:02:25.000
------------------------------------

Latitude (deg)    Longitude (deg)    FOM Value (dB)
        32.299            253.334            7.7053
        32.299            253.358            7.7466
        32.299            253.382            7.7852
        32.299            253.406            7.8211
        32.299            253.431            7.8542
        32.299            253.455            7.8846
        32.299            253.479            7.9121
        32.299            253.503            7.9366
        32.299            253.527            7.9581
        32.299            253.551            7.9766
        32.299            253.575            7.9921
        32.299            253.599            8.0044
        32.299            253.623            8.0136
        32.299            253.647            8.0196
        32.299            253.671            8.0225
        32.299            253.695            8.0222
        32.299            253.719            8.0187
        32.299            253.744            8.0121
        32.299            253.768            8.0023
        32.299            253.792            7.9894
        32.299            253.816            7.9734
        32.299            253.840            7.9543
        32.299            253.864            7.9322
        32.299            253.888            7.9071
        32.315            253.262            7.6300
        32.315            253.286            7.6793
        32.315            253.310            7.7262
        32.315            253.334            7.7706
        32.315            253.358            7.8124
        32.315            253.382            7.8516
        32.315            253.406            7.8881
        32.315            253.431            7.9218
        32.315            253.455            7.9526
        32.315            253.479            7.9805
        32.315            253.503            8.0054
        32.315            253.527            8.0273
        32.315            253.551            8.0461
        32.315            253.575            8.0617
        32.315            253.599            8.0743
        32.315            253.623            8.0836
        32.315            253.647            8.0898
        32.315            253.671            8.0927
        32.315            253.695            8.0924
        32.315            253.719            8.0888
        32.315            253.744            8.0821
        32.315            253.768            8.0722
        32.315            253.792            8.0591
        32.315            253.816            8.0428
        32.315            253.840            8.0234
        32.315            253.864            8.0010
        32.315            253.888            7.9755
        32.331            253.262            7.6924
        32.331            253.286            7.7424
        32.331            253.310            7.7899
        32.331            253.334            7.8350
        32.331            253.358            7.8774
        32.331            253.382            7.9172
        32.331            253.406            7.9542
        32.331            253.431            7.9884
        32.331            253.455            8.0197
        32.331            253.479            8.0480
        32.331            253.503            8.0733
        32.331            253.527            8.0956
        32.331            253.551            8.1147
        32.331            253.575            8.1306
        32.331            253.599            8.1433
        32.331            253.623            8.1528
        32.331            253.647            8.1590
        32.331            253.671            8.1620
        32.331            253.695            8.1617
        32.331            253.719            8.1581
        32.331            253.744            8.1513
        32.331            253.768            8.1412
        32.331            253.792            8.1278
        32.331            253.816            8.1113
        32.331            253.840            8.0916
        32.331            253.864            8.0688
        32.331            253.888            8.0430
        32.347            253.262            7.7538
        32.347            253.286            7.8045
        32.347            253.310            7.8527
        32.347            253.334            7.8984
        32.347            253.358            7.9415
        32.347            253.382            7.9819
        32.347            253.406            8.0195
        32.347            253.431            8.0542
        32.347            253.455            8.0859
        32.347            253.479            8.1147
        32.347            253.503            8.1404
        32.347            253.527            8.1629
        32.347            253.551            8.1823
        32.347            253.575            8.1985
        32.347            253.599            8.2114
        32.347            253.623            8.2211
        32.347            253.647            8.2274
        32.347            253.671            8.2304
        32.347            253.695            8.2301
        32.347            253.719            8.2265
        32.347            253.744            8.2195
        32.347            253.768            8.2093
        32.347            253.792            8.1957
        32.347            253.816            8.1789
        32.347            253.840            8.1589
        32.347            253.864            8.1358
        32.347            253.888            8.1095
        32.363            253.262            7.8143
        32.363            253.286            7.8657
        32.363            253.310            7.9146
        32.363            253.334            7.9609
        32.363            253.358            8.0046
        32.363            253.382            8.0456
        32.363            253.406            8.0837
        32.363            253.431            8.1189
        32.363            253.455            8.1512
        32.363            253.479            8.1804
        32.363            253.503            8.2064
        32.363            253.527            8.2293
        32.363            253.551            8.2490
        32.363            253.575            8.2655
        32.363            253.599            8.2786
        32.363            253.623            8.2884
        32.363            253.647            8.2948
        32.363            253.671            8.2978
        32.363            253.695            8.2975
        32.363            253.719            8.2938
        32.363            253.744            8.2868
        32.363            253.768            8.2764
        32.363            253.792            8.2626
        32.363            253.816            8.2456
        32.363            253.840            8.2253
        32.363            253.864            8.2018
        32.363            253.888            8.1751
        32.379            253.262            7.8737
        32.379            253.286            7.9258
        32.379            253.310            7.9754
        32.379            253.334            8.0224
        32.379            253.358            8.0667
        32.379            253.382            8.1083
        32.379            253.406            8.1469
        32.379            253.431            8.1827
        32.379            253.455            8.2154
        32.379            253.479            8.2450
        32.379            253.503            8.2715
        32.379            253.527            8.2947
        32.379            253.551            8.3147
        32.379            253.575            8.3314
        32.379            253.599            8.3447
        32.379            253.623            8.3546
        32.379            253.647            8.3612
        32.379            253.671            8.3643
        32.379            253.695            8.3639
        32.379            253.719            8.3602
        32.379            253.744            8.3530
        32.379            253.768            8.3424
        32.379            253.792            8.3285
        32.379            253.816            8.3112
        32.379            253.840            8.2906
        32.379            253.864            8.2667
        32.379            253.888            8.2397
        32.395            253.262            7.9321
        32.395            253.286            7.9849
        32.395            253.310            8.0352
        32.395            253.334            8.0828
        32.395            253.358            8.1277
        32.395            253.382            8.1699
        32.395            253.406            8.2091
        32.395            253.431            8.2453
        32.395            253.455            8.2785
        32.395            253.479            8.3085
        32.395            253.503            8.3354
        32.395            253.527            8.3590
        32.395            253.551            8.3793
        32.395            253.575            8.3962
        32.395            253.599            8.4097
        32.395            253.623            8.4198
        32.395            253.647            8.4264
        32.395            253.671            8.4296
        32.395            253.695            8.4292
        32.395            253.719            8.4254
        32.395            253.744            8.4182
        32.395            253.768            8.4074
        32.395            253.792            8.3933
        32.395            253.816            8.3757
        32.395            253.840            8.3548
        32.395            253.864            8.3306
        32.395            253.888            8.3032
        32.411            253.262            7.9893
        32.411            253.286            8.0428
        32.411            253.310            8.0938
        32.411            253.334            8.1421
        32.411            253.358            8.1876
        32.411            253.382            8.2303
        32.411            253.406            8.2701
        32.411            253.431            8.3068
        32.411            253.455            8.3405
        32.411            253.479            8.3709
        32.411            253.503            8.3982
        32.411            253.527            8.4221
        32.411            253.551            8.4427
        32.411            253.575            8.4598
        32.411            253.599            8.4736
        32.411            253.623            8.4838
        32.411            253.647            8.4905
        32.411            253.671            8.4937
        32.411            253.695            8.4934
        32.411            253.719            8.4895
        32.411            253.744            8.4821
        32.411            253.768            8.4713
        32.411            253.792            8.4569
        32.411            253.816            8.4391
        32.411            253.840            8.4179
        32.411            253.864            8.3933
        32.411            253.888            8.3655
        32.427            253.262            8.0454
        32.427            253.286            8.0996
        32.427            253.310            8.1512
        32.427            253.334            8.2001
        32.427            253.358            8.2463
        32.427            253.382            8.2895
        32.427            253.406            8.3298
        32.427            253.431            8.3671
        32.427            253.455            8.4012
        32.427            253.479            8.4321
        32.427            253.503            8.4597
        32.427            253.527            8.4840
        32.427            253.551            8.5049
        32.427            253.575            8.5223
        32.427            253.599            8.5362
        32.427            253.623            8.5466
        32.427            253.647            8.5534
        32.427            253.671            8.5566
        32.427            253.695            8.5563
        32.427            253.719            8.5524
        32.427            253.744            8.5449
        32.427            253.768            8.5338
        32.427            253.792            8.5193
        32.427            253.816            8.5012
        32.427            253.840            8.4797
        32.427            253.864            8.4548
        32.427            253.888            8.4266
        32.442            253.262            8.1002
        32.442            253.286            8.1551
        32.442            253.310            8.2073
        32.442            253.334            8.2569
        32.442            253.358            8.3036
        32.442            253.382            8.3475
        32.442            253.406            8.3883
        32.442            253.431            8.4261
        32.442            253.455            8.4607
        32.442            253.479            8.4920
        32.442            253.503            8.5200
        32.442            253.527            8.5446
        32.442            253.551            8.5658
        32.442            253.575            8.5834
        32.442            253.599            8.5975
        32.442            253.623            8.6080
        32.442            253.647            8.6150
        32.442            253.671            8.6182
        32.442            253.695            8.6179
        32.442            253.719            8.6139
        32.442            253.744            8.6063
        32.442            253.768            8.5951
        32.442            253.792            8.5804
        32.442            253.816            8.5621
        32.442            253.840            8.5402
        32.442            253.864            8.5150
        32.442            253.888            8.4864
        32.458            253.262            8.1537
        32.458            253.286            8.2093
        32.458            253.310            8.2622
        32.458            253.334            8.3124
        32.458            253.358            8.3597
        32.458            253.382            8.4041
        32.458            253.406            8.4455
        32.458            253.431            8.4837
        32.458            253.455            8.5188
        32.458            253.479            8.5505
        32.458            253.503            8.5789
        32.458            253.527            8.6038
        32.458            253.551            8.6253
        32.458            253.575            8.6432
        32.458            253.599            8.6575
        32.458            253.623            8.6681
        32.458            253.647            8.6752
        32.458            253.671            8.6785
        32.458            253.695            8.6781
        32.458            253.719            8.6741
        32.458            253.744            8.6664
        32.458            253.768            8.6551
        32.458            253.792            8.6401
        32.458            253.816            8.6215
        32.458            253.840            8.5994
        32.458            253.864            8.5738
        32.458            253.888            8.5448
        32.474            253.262            8.2059
        32.474            253.286            8.2621
        32.474            253.310            8.3156
        32.474            253.334            8.3664
        32.474            253.358            8.4144
        32.474            253.382            8.4594
        32.474            253.406            8.5013
        32.474            253.431            8.5400
        32.474            253.455            8.5755
        32.474            253.479            8.6076
        32.474            253.503            8.6364
        32.474            253.527            8.6617
        32.474            253.551            8.6834
        32.474            253.575            8.7015
        32.474            253.599            8.7160
        32.474            253.623            8.7268
        32.474            253.647            8.7339
        32.474            253.671            8.7373
        32.474            253.695            8.7369
        32.474            253.719            8.7329
        32.474            253.744            8.7251
        32.474            253.768            8.7136
        32.474            253.792            8.6984
        32.474            253.816            8.6796
        32.474            253.840            8.6572
        32.474            253.864            8.6313
        32.474            253.888            8.6019
