"Access","Time (UTCG)","Noise Density (dBW/Hz)","S/T SNR1 (dB)","S/T PDet1","S/T Integrated SNR (dB)","S/T Integrated PDet","S/T Pulses Integrated","S/T Integration Time (sec)","S/T Dwell Time (sec)","S/T Noise Bandwidth (MHz)","S/T Noise Power (dBW)","S/T Ambig Tgt Velocity (m/s)","S/T Ambig MLC Velocity (m/s)","S/T Ambig Tgt Range (km)","S/T Integ. Det. Thresh. (dB)","S/T Integ. CFAR Multiple"
1,1 May 2024 19:29:38.000,-203.975159,-16.0472,0.000122,11.0455,0.000853,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,35.040236,27.7847,0.000000
1,1 May 2024 19:29:41.000,-203.975159,-16.0088,0.000122,11.0839,0.000867,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,34.300414,27.7847,0.000000
1,1 May 2024 19:29:44.000,-203.975159,-15.9703,0.000123,11.1224,0.000882,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,33.560593,27.7847,0.000000
1,1 May 2024 19:29:47.000,-203.975159,-15.9317,0.000123,11.1610,0.000900,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,32.820771,27.7847,0.000000
1,1 May 2024 19:29:50.000,-203.975159,-15.8930,0.000123,11.1997,0.000916,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,32.080950,27.7847,0.000000
1,1 May 2024 19:29:53.000,-203.975159,-15.8542,0.000123,11.2385,0.000932,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,31.341129,27.7847,0.000000
1,1 May 2024 19:29:56.000,-203.975159,-15.8154,0.000123,11.2773,0.000948,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,30.601307,27.7847,0.000000
1,1 May 2024 19:29:59.000,-203.975159,-15.7764,0.000124,11.3163,0.000966,512,0.5110,0.5132,30.000,-129.204,-3.550,0.000,29.861486,27.7847,0.000000
1,1 May 2024 19:30:02.000,-203.975159,-15.7374,0.000124,11.3553,0.000983,512,0.5110,0.5132,30.000,-129.204,-3.551,0.000,29.121665,27.7847,0.000000
1,1 May 2024 19:30:05.000,-203.975159,-15.6983,0.000124,11.3944,0.001004,512,0.5110,0.5132,30.000,-129.204,-3.551,0.000,28.381844,27.7847,0.000000
1,1 May 2024 19:30:08.000,-203.975159,-15.6591,0.000124,11.4336,0.001022,512,0.5110,0.5132,30.000,-129.204,-3.551,0.000,27.642023,27.7847,0.000000
1,1 May 2024 19:30:11.000,-203.975159,-15.6198,0.000125,11.4729,0.001042,512,0.5110,0.5132,30.000,-129.204,-3.551,0.000,26.902203,27.7847,0.000000
1,1 May 2024 19:30:14.000,-203.975159,-15.5804,0.000125,11.5123,0.001061,512,0.5110,0.5132,30.000,-129.204,-3.551,0.000,26.162382,27.7847,0.000000
1,1 May 2024 19:30:17.000,-203.975159,-15.5409,0.000125,11.5518,0.001081,512,0.5110,0.5132,30.000,-129.204,-3.551,0.000,25.422562,27.7847,0.000000
1,1 May 2024 19:30:20.000,-203.975159,-15.5013,0.000125,11.5914,0.001102,512,0.5110,0.5132,30.000,-129.204,-3.551,0.000,24.682742,27.7847,0.000000
1,1 May 2024 19:30:23.000,-203.975159,-15.4617,0.000125,11.6310,0.001127,512,0.5110,0.5132,30.000,-129.204,-3.552,0.000,23.942923,27.7847,0.000000
1,1 May 2024 19:30:26.000,-203.975159,-15.4219,0.000126,11.6708,0.001149,512,0.5110,0.5132,30.000,-129.204,-3.552,0.000,23.203103,27.7847,0.000000
1,1 May 2024 19:30:29.000,-203.975159,-15.3821,0.000126,11.7106,0.001172,512,0.5110,0.5131,30.000,-129.204,-3.552,0.000,22.463284,27.7847,0.000000
1,1 May 2024 19:30:32.000,-203.975159,-15.3422,0.000126,11.7505,0.001195,512,0.5110,0.5131,30.000,-129.204,-3.552,0.000,21.723465,27.7847,0.000000
1,1 May 2024 19:30:35.000,-203.975159,-15.3022,0.000126,11.7905,0.001219,512,0.5110,0.5131,30.000,-129.204,-3.552,0.000,20.983646,27.7847,0.000000
1,1 May 2024 19:30:38.000,-203.975159,-15.2621,0.000127,11.8306,0.001247,512,0.5110,0.5131,30.000,-129.204,-3.553,0.000,20.243828,27.7847,0.000000
1,1 May 2024 19:30:41.000,-203.975159,-15.2218,0.000127,11.8709,0.001273,512,0.5110,0.5131,30.000,-129.204,-3.553,0.000,19.504010,27.7847,0.000000
1,1 May 2024 19:30:44.000,-203.975159,-15.1816,0.000127,11.9111,0.001299,512,0.5110,0.5131,30.000,-129.204,-3.553,0.000,18.764192,27.7847,0.000000
1,1 May 2024 19:30:47.000,-203.975159,-15.1412,0.000127,11.9515,0.001327,512,0.5110,0.5131,30.000,-129.204,-3.553,0.000,18.024374,27.7847,0.000000
1,1 May 2024 19:30:50.000,-203.975159,-15.1007,0.000128,11.9920,0.001355,512,0.5110,0.5131,30.000,-129.204,-3.553,0.000,17.284558,27.7847,0.000000
1,1 May 2024 19:30:53.000,-203.975159,-15.0601,0.000128,12.0326,0.001387,512,0.5110,0.5131,30.000,-129.204,-3.554,0.000,16.544741,27.7847,0.000000
1,1 May 2024 19:30:56.000,-203.975159,-15.0194,0.000128,12.0733,0.001417,512,0.5110,0.5131,30.000,-129.204,-3.554,0.000,15.804925,27.7847,0.000000
1,1 May 2024 19:30:59.000,-203.975159,-14.9786,0.000128,12.1140,0.001448,512,0.5110,0.5131,30.000,-129.204,-3.554,0.000,15.065108,27.7847,0.000000
1,1 May 2024 19:31:02.000,-203.975159,-14.9378,0.000129,12.1549,0.001480,512,0.5110,0.5131,30.000,-129.204,-3.554,0.000,14.325293,27.7847,0.000000
1,1 May 2024 19:31:05.000,-203.975159,-14.8968,0.000129,12.1959,0.001513,512,0.5110,0.5131,30.000,-129.204,-3.554,0.000,13.585478,27.7847,0.000000
1,1 May 2024 19:31:08.000,-203.975159,-14.8558,0.000129,12.2369,0.001551,512,0.5110,0.5131,30.000,-129.204,-3.555,0.000,12.845663,27.7847,0.000000
